id,url,description,likes_count,timestamp,comment_count
video_1015768740903772160,,Shaq Slips And Falls On Air In Slow Motion - VoiceOver #ShaquilleONeal #slipsandfalls #TNT #ChrisWebber #funny,2121,2013-11-22T20:32:33.000000,62
video_1016168381583654912,,Where was he really taking her fine ahh!!!,138,2013-11-23T23:00:35.000000,40
video_1016596288051306496,,Zayn- SOML for the AMA's #onedirection #zaynmalik #AMAs2013,657,2013-11-25T03:20:56.000000,36
video_1017316387020218368,,"S-U-C-C-E-S-S spelled out for the #successflow TheYng, Yung Dreebo, Charlie_Ferrari, Prince_Julius",338,2013-11-27T03:02:21.000000,88
video_1017348591884328960,,Bad Ass White Kids Be Like #SmackCam,2859,2013-11-27T05:10:19.000000,218
video_1017875065444130816,,Alvaro & Mercer feat. Lil Jon - Welcome To The Jungle,12653,2013-11-28T16:02:20.000000,558
video_1017970044258377728,,BEAR HUGS,157,2013-11-28T22:19:45.000000,36
video_1018345515672645632,,Kyries Hebert lays a MASSIVE BLOCK on Onrea Jones!! (@HitStickVine) #hitstick #football #footballhits,15623,2013-11-29T23:11:44.000000,604
video_1018399483828326400,,Damn 😱💪 #Fights #OFWGKTA #SuperSlam,3820,2013-11-30T02:46:11.000000,362
video_1018667358321250304,,Moms in Black Friday be like #funny #comedy #blackfriday #loop #iamlegend,6362,2013-11-30T20:30:38.000000,268
video_1018729501821399040,,The craziest thing I have ever seen! Auburn beats Alabama on last second field goal return! Wow... #football #sports #amazing,4319,2013-12-01T00:37:34.000000,362
video_1019009049120886784,,R.I.P Paul Walker. Love this scene. #fastandfurious #movie #love #actor,289,2013-12-01T19:08:23.000000,38
video_1019862122563563520,,"#RatchetChristmasCarol Vine Stars, Santa Claus ™ 🙈 lmao oh lawd 🎅🎄",1130,2013-12-04T03:38:12.000000,364
video_1020511330580787200,,"#Obama on the death of South African anti-apartheid hero #NelsonMandela ""He no longer belongs to us, he belongs to the ages.""",1946,2013-12-05T22:37:55.000000,192
video_1020541928640507905,,BLT && Friess,561,2013-12-06T00:39:30.000000,98
video_1020817084546215936,,#annoying child Ellie Steele,272,2013-12-06T18:52:52.000000,58
video_1020901686048665600,,How ratchet hoes flat iorn they hair ... #comdey #HoesBeLike #SpaceBaby #LOL  #SheRatcheeeeet 😂 👉Share on twitter /Facebook👈,995,2013-12-07T00:29:03.000000,48
video_1020912874765619200,,Josh Peck drawing like and revine so he can see it! #drawing #art #joshpeckdrawing,1100,2013-12-07T01:13:30.000000,164
video_1020930368741761024,,A veces las madres no saben.,1552,2013-12-07T02:23:01.000000,120
video_1021214042855018496,,#comidy,1965,2013-12-07T21:10:15.000000,88
video_1021311568061095936,,Lol ion care 💁,1342,2013-12-08T03:37:46.000000,206
video_1021335174224465920,,before the party #niggasbelike but shit get canceled they be like,401,2013-12-08T05:11:35.000000,42
video_1021655017381584896,,Mamba takes the court.,2343,2013-12-09T02:22:31.000000,82
video_1023091917250023424,,"Picking out the perfect outfit...AlliCattt, Scotty Sire, Lele Pons #JustGirlyContest",110,2013-12-13T01:32:15.000000,54
video_1025200529762304000,,Consistency and Repetition: the key to Ray Allen's pregame workout. Pacers/Heat on ESPN,1342,2013-12-18T21:11:07.000000,90
video_1025231522179231744,,To my last vine #TMLV,3196,2013-12-18T23:14:16.000000,370
video_1025563073714483200,,#6secondcover #acapella #music #jingle #beyonce #howto #loop #singing #vinesinger #voice #sing #cover,13,2013-12-19T21:11:44.000000,44
video_1025583405355937792,,Heather with the weather (part 1) #heatherashley #heatherwiththeweather,543,2013-12-19T22:32:32.000000,36
video_1025590120042164224,,Big Pimpin' 💸Canadian Edition #LetItRaaain #MackDaddyEh,265,2013-12-19T22:59:13.000000,56
video_1025609192838443008,,#kidsaredumb,16,2013-12-20T00:15:00.000000,36
video_1026296025050148864,,Like lawdddd HOP THE FUCK OFF smh I don't even have females hating on me like the niggas do 💯,1189,2013-12-21T21:44:14.000000,80
video_1026658089262612480,,#howtolookhotinyourvines #photoshoot #santababy #christmas,14,2013-12-22T21:42:56.000000,56
video_1026805374071754752,,"#NolaSleepDoe #NOLATakeOver TOKYOxVANITY, STARFLOW, Wuzzam Supa, Charleszyy, Nick Nack Pattiwhack",5384,2013-12-23T07:28:12.000000,488
video_1026948475654725632,,Diamonds Aren't Forever #Bringmethehorizon #bmth #diamondsarentforever #suicideseason,319,2013-12-23T16:56:50.000000,32
video_1027003324282654720,,#calumhood,214,2013-12-23T20:34:47.000000,32
video_1027371347221045248,,So DaRealNette talks about my father who passed (Allah yer7amo) but EVERYONE on HUSH bc it's her who said it or what? Smh YA'LL FAKE AF✌️👸💯,39,2013-12-24T20:57:10.000000,82
video_1027437650183081984,,She takes after me,244,2013-12-25T01:20:38.000000,72
video_1027479240444452864,,In school I be like... #AndyBiersack #bvb #atemyhomework #school #teachers #hatehomework #homework,7,2013-12-25T04:05:54.000000,66
video_1027519055210438656,,My Nephew In Here Joaning On My Aunt!  😩😩😩😩😩😩😩😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,551,2013-12-25T06:44:07.000000,42
video_1027733396387975168,,I got some new clothes......😒😒😒,814,2013-12-25T20:55:50.000000,86
video_1028080834764255232,,and in that moment i swear we were infinite !!!!!,1167,2013-12-26T19:56:25.000000,78
video_1028570940705239040,,Lock Up Raw pt 3 .....naaa not rape but murder #convictcam #TeamIgnant #hoodcomedy #comedy #Pshyco #follow Dirtymoney24,3734,2013-12-28T04:23:56.000000,96
video_1030291178240856064,,"Paid In Full ""what's poppin Kurmy"" w/Shay Buttaa Babyy  #LOL #funny #comedy",965,2014-01-01T22:19:32.000000,190
video_1030470596695359488,,Aaron Rodgers stuns the Bears with a Game Winning Touchdown pass on 4th down! #music [Dimitri Vegas - Mammoth (original mix)] #epic #nfl,1927,2014-01-02T10:12:29.000000,172
video_1030637312557678592,,My 2014 Secret Is Out 😂😂😂😂 #TeamIgnant #TeamTopNotch #SwaveShow,1130,2014-01-02T21:14:57.000000,210
video_1031714823689437184,,#Rstyle #success #vineamateurhour Diff between a lite n dark skinned nigga gettin hurt by a chick😆 #TEAMSOUR,592,2014-01-05T20:36:36.000000,54
video_1032610021605056512,,ToddyWop_ lmfaoooooooo breh,893,2014-01-08T07:53:48.000000,64
video_1033243846865473536,,Sus dude trying to talk to me wtf,310,2014-01-10T01:52:23.000000,50
video_1033551391932710912,,#scarecam #funny #dog #cat #savannah #love,788,2014-01-10T22:14:28.000000,114
video_1033993129051017216,,This is not a #LNV,5017,2014-01-12T03:29:46.000000,436
video_1034009613798187008,,Huge karate kick to the head! {Song: Hate Being Sober - Chief Keef (Remix)} #teamgametime,2183,2014-01-12T04:35:16.000000,86
video_1034325239603015680,,"Y'all wanted another GrindOnMeVines!, GrindOnMeDaily, GrindOneMeRevines, GrindOnMeVines!!",406,2014-01-13T01:29:27.000000,90
video_1035095956305125376,,Christiano Covino back at ya pal. Shouts to #CypherNation too. #KiLSociety ALL DAY! Chiefwakil.com,2411,2014-01-15T04:32:01.000000,288
video_1035362829223784448,,Scared Straight Be Like ... Uggcooliess #Remake,1590,2014-01-15T22:12:28.000000,188
video_1035704405627965440,,Great song!😍 #ride #somo #grindonme #vape #vapetricks #hookah,373,2014-01-16T20:49:46.000000,40
video_1035709331489832960,,DJs in the club be like... #djsbelike #clubshit #TeamCSO #ATLTakeOver,4900,2014-01-16T21:09:21.000000,420
video_1035989830989217792,,Got into a fight last night. Hating Ass Niggas Man .. #NaeNae Still Taking Over 😜 . Show Tonight. Follow IG For Info : CaLLamar #TeamLamvr,216,2014-01-17T15:43:57.000000,34
video_1036391385047134208,,1 Like = Respect!! Just saw this fabulous girl dance on India's Got Talent and she only has 1 leg...just AMAZING. What a spirit!,2650,2014-01-18T18:19:35.000000,178
video_1036470207365230592,,My Baby Brother Trying To Make New Friends (Fail) #Followme#Boy#House#Sad#Twoyearsold#Babys#Smiles#Hug#2014,2237,2014-01-18T23:32:48.000000,316
video_1036776803483684864,,Teenager gets blind sided twice by two different teens and gets robbed for his IPhone 5C! #FightVines,1629,2014-01-19T19:51:06.000000,466
video_1036918934974406656,,Blind man #NaeNae 😂,4289,2014-01-20T05:15:53.000000,732
video_1037513465897598976,,the real justin ☺️ #justinbieber,3219,2014-01-21T20:38:20.000000,264
video_1037547364719775744,,Bout to rob this motha fucka #remake,642,2014-01-21T22:53:02.000000,80
video_1037557671953342464,,"For the few of you guys who enjoyed my juggle syncs lol (song: ""They Just Don't Know"" - Gyft) #JuggleSync #bored #dariusbenson #Rising",10191,2014-01-21T23:33:59.000000,552
video_1037584295784497152,,"""I'm not like them other guys"" (But this be the case though!😴"" 😩",17150,2014-01-22T01:19:47.000000,300
video_1037604986386882560,,Pablo misses you . #JalenDotson,2149,2014-01-22T02:42:00.000000,130
video_1038002020772110336,,"Here come the Feds ""officer do to much",1800,2014-01-23T04:59:40.000000,66
video_1038279828601765888,,#DumbDonald #FatAlbert #throwback Alphonso McAuley,3198,2014-01-23T23:23:35.000000,190
video_1038638173796159488,,Miami Metro released Justin Bieber today... 💉🔪😈 #dexter #justinbieber,5981,2014-01-24T23:07:31.000000,346
video_1038952710659035136,,Racism (Also Starring Craig Trevett ) #benadamsisinnocent #comedy #BumcheeksInternational,617,2014-01-25T19:57:23.000000,50
video_1040017863920017408,,#samesexmarriage #SamSexMarriageSupporter #equal #equality #equality2014,82,2014-01-28T18:29:55.000000,92
video_1040475260585484288,,"Scene 7: TOKYOxVANITY, Wuzzam Supa, DaRealNette #SetItOff2014 #nolatakeover",908,2014-01-30T00:47:27.000000,36
video_1040480063214456832,,I Hate Greedy Ass Dogs 😡,207,2014-01-30T01:06:32.000000,80
video_1040547079480930304,,Helga,1856,2014-01-30T05:32:50.000000,212
video_1040715918327648256,,butt monkey #thechantgame #zombie #yeah #no,21,2014-01-30T16:43:44.000000,40
video_1041223651707719680,,get dunked on SLAMBALL style! #SLAMBALL,4399,2014-02-01T02:21:17.000000,138
video_1041575393192218624,,Two robbers mess with the wrong clerk. #RobberyFails #comedy #funny #lol #haha,2483,2014-02-02T01:38:59.000000,90
video_1041926984047251456,,"#EliManningBeLike ""u messin up da legacy lmao""  #DatVoiceDoe #DatFACEDoe",19,2014-02-03T00:56:05.000000,34
video_1042152100458799104,,With that combo shot.. #skills #golf #poolandgolf,7205,2014-02-03T15:50:36.000000,460
video_1044184247084498944,,Singers room. Haha,1590,2014-02-09T06:25:38.000000,62
video_1044413228903788544,,I have done this plenty of times 😭😂 this is my facial expression right before I karate kick my ass outta bed 😭😂#thecollection #lolatl,503,2014-02-09T21:35:32.000000,46
video_1044444091183788032,,Marcus Smart shoves a chubby Texas Tech fan in rage! #marcussmart #oklahomast #texastech #sports #vine #21CS,1534,2014-02-09T23:38:10.000000,230
video_1045487837144907776,,Justin Bieber and I should quit rapping...,505,2014-02-12T20:45:38.000000,94
video_1045523258935754752,,That one friend who always tries to compete with you... Jessica Lesaca,12292,2014-02-12T23:06:23.000000,550
video_1045940810706726912,,There's always that 1 dumb ass out the group u don't wanna take NO WHERE! 😩😩😭 YUNG POPPY #TEAMSOUR,2656,2014-02-14T02:45:35.000000,252
video_1046262244998258688,,My man and I! Happy VDay everyone! (Shoutout to all the single ladies ~~ Beyonce still loves you),55,2014-02-15T00:02:51.000000,44
video_1046367793622441984,,Gosh dang you autofocus! #Attila,1721,2014-02-15T07:02:16.000000,86
video_1046683080292782080,,"Sound check at #WhiskeyRepublic with DUDEnGUY. Ready to rock Providence, RI tonight!",4529,2014-02-16T03:55:06.000000,188
video_1046969682382794752,,For the record.... #thewalkingdead #sunday #dead #bamfwalker,246,2014-02-16T22:53:58.000000,44
video_1047214355399462912,,Early Morning Bars 😂 Rappin Like Ross #HUMPH #GetLosTo20K #imfoolish,646,2014-02-17T15:06:12.000000,40
video_1047231749924728832,,Kevin durant with the huge alley oop off the inbounds pass from stephan curry #alleyoop #lob #dunk #kevindurant  #allstargame #neworleans,1142,2014-02-17T16:15:19.000000,70
video_1047619465950736384,,Gottem 😏,4836,2014-02-18T17:55:58.000000,652
video_1047662801553936384,,Didn't see that one coming 😣 w/Elise Odoardi #ouch,3489,2014-02-18T20:48:10.000000,298
video_1048237592963330048,,Little people probzz 👎,35,2014-02-20T10:52:11.000000,44
video_1048311727059861504,,liam interviewing the boys is the best,3097,2014-02-20T15:46:46.000000,114
video_1048815494985551872,,"Comedian Marvin Howard reppin Minnesota. ""The Warm Up""",46,2014-02-22T01:08:34.000000,62
video_1048908355407675392,,2009 – 2014,8769,2014-02-22T07:17:33.000000,598
video_1049049912895234048,,,1040,2014-02-22T16:40:03.000000,178
video_1049829133251125248,,ForeverFreshFERLAN 🙌🙌🙌 #TeamNoChill #FloridaGang #TeamNevaChill,217,2014-02-24T20:16:24.000000,112
video_1049866734833991680,,The shit you do when you bored in the car,287,2014-02-24T22:45:49.000000,38
video_1050549294417457152,,Nani cancels Ronaldo's AMAZING goal because he was offsides... #soccer #football #futbol #footvines (twitter: @theFootyViners),5998,2014-02-26T19:58:04.000000,560
video_1050956336680345600,,Lepore's lawyer won't be pleased when he sees his client's latest vine at such a delicate time...,1251,2014-02-27T22:55:30.000000,532
video_1050979346070077440,,SHOWING YOU MY DANCE MOVES OHH,613,2014-02-28T00:26:56.000000,78
video_1050987543383937024,,😒 got 3 days for releasing my breath 😒,2409,2014-02-28T00:59:30.000000,120
video_1051013843955957760,,I totally don't think it's ok for a man to hit a woman but if you hit me you're getting hit back lmao and that's REAL YALL KNEW !,4459,2014-02-28T02:44:01.000000,374
video_1051123149653118976,,I just got home & all I see on my TL is boy young 😩😒 #TeamSnapCam,8,2014-02-28T09:58:21.000000,32
video_1051235021203316736,,Knock Knock Zoom Zoom 😂😭 #Gone lol,2251,2014-02-28T17:22:54.000000,130
video_1051368830045483008,,I do support everyone ❤️ #gayrights,195,2014-03-01T02:14:36.000000,40
video_1052149019687985152,,Another #repost from my Xmas shoot #realsexibarbie,389,2014-03-03T05:54:48.000000,352
video_1052156302291767296,,Matt is the sweetest // #depressed #matthew #espinosa #matt #magcon #magconedits #edit #camerondallas #matthewespinosa ☁️🙇,3857,2014-03-03T06:23:44.000000,354
video_1052335428860043264,,100K🎉🎉🎉🎉🙌😩 Thank you so much!! I LOVE EACH AND EVERY ONE OF YOU❤️❤️#Yass,7522,2014-03-03T18:15:31.000000,460
video_1052400209289940992,,Sweet moves by Rick Nash #hockey #vine,350,2014-03-03T22:32:56.000000,36
video_1052407693459476480,,When People Say You First #comedy #evanblaked,14463,2014-03-03T23:02:40.000000,730
video_1052863263529963520,,NEW VINE GLITCH TRY IT! IT TOTALLY WORKS! #funny #SincereVine #vine #TEAMUNDERDOGS #fattuesday #comedy,240,2014-03-05T05:12:57.000000,174
video_1053133798101442560,,"10,000 #revines I will slap my grandmama 😁😳👋👋👋👋👵👵👵👵👋👋  she going kill me 10,000 #revines",583,2014-03-05T23:07:57.000000,180
video_1053238178943234048,,20 bocks!!,1339,2014-03-06T06:02:44.000000,34
video_1053441156740681728,,Why there's no gospel according to Jesus (part 3),507,2014-03-06T19:29:17.000000,44
video_1053509458280050688,,"Not so much a ""rage"" but I'm done with this #FloppyWings",461,2014-03-07T00:00:42.000000,82
video_1053567200277450752,,#FloppyWings,891,2014-03-07T03:50:08.000000,86
video_1053791122083753984,,Imma fool ya have a blessed day 😂😂😂😂😂 #TEAMSOUR,398,2014-03-07T18:39:55.000000,94
video_1053817084393508864,,New York is dangerous w/ Renee Lyon and Anna Clendening,7801,2014-03-07T20:23:05.000000,202
video_1053834433943183360,,"TONIGHT - Friday, March 7th - Don’t miss Mighty Mo vs Peter Graham, at 9/8c LIVE on Spike TV! #BellatorMMA",1654,2014-03-07T21:32:02.000000,62
video_1053851785821384704,,Trying to get Jabbar Hakeem to do a vine 😒,1673,2014-03-07T22:40:59.000000,72
video_1053867748171595776,,This in my lovely mother,1508,2014-03-07T23:44:25.000000,72
video_1053874949846663168,,"Follow for more videos, thanks you guys are awesome! 💜",665,2014-03-08T00:13:02.000000,42
video_1054174904356311040,,"SamTakesOff, Jabbar Hakeem 😂😂😂 Brianne",1943,2014-03-08T20:04:56.000000,52
video_1054210825700741120,,Write this on 8 vines or you'll die in 8 hours. ✋✋ #bitchplease 😂,931,2014-03-08T22:27:41.000000,128
video_1054254121538498560,,CALM DOWN! It's not a real penis.,1,2014-03-09T01:19:43.000000,68
video_1054332992950054912,,Group of talented dancers. Song: Caleb Mak- the joker #truetalent,2211,2014-03-09T06:33:08.000000,34
video_1054888765589991424,,"What ever your fight, what ever your battle, Jessi Smiles and myself want to see you be brave. || Sara Bareilles - Brave ❤️❤️",9952,2014-03-10T19:21:34.000000,694
video_1054929697353457664,,Dat face tho 😂😭😂😭😂 #lipgloss,285,2014-03-10T22:04:13.000000,114
video_1055241182718332928,,Fuck cancer,155,2014-03-11T18:41:57.000000,36
video_1055302920520220672,,"#BlackRanked BdotAdot5, YUNG POPPY, Nick Nack Pattiwhack, TOKYOxVANITY, Anaya, 4everkelz",1536,2014-03-11T22:47:16.000000,40
video_1055376321662377984,,Singing for US! #nomatterwhereyouare @Taylor Phillips @Corbin Phillips @Hunter Phillips #6secondcover,1043,2014-03-12T03:38:57.000000,132
video_1055573849443864576,,RUSSELL WESTBROOK ON LOOP!.. #TeamOT,2567,2014-03-12T16:43:51.000000,210
video_1055729335686066176,,Lock and Load!!! #InnapropriateTimeForChapstick omar gHonim Ginger Wesson Darius Benson ScottySire AlliCattt,4698,2014-03-13T03:01:42.000000,358
video_1056068458850689024,,😒😒 cuz I dnt feel like doing that frfr,755,2014-03-14T01:29:15.000000,66
video_1056396634285637632,,Just a thot of mine 😎,3886,2014-03-14T23:13:18.000000,564
video_1056441342043242496,,Lebron with two full court shots #NBA #King James,1542,2014-03-15T02:10:57.000000,170
video_1056707580472258560,,megan nahhhman when i found out megan was single.... Bish whet,5030,2014-03-15T19:48:53.000000,148
video_1056767045251080192,,Hows My Balitmore Accent ? #TEAMSOUR,2422,2014-03-15T23:45:11.000000,522
video_1056991806686478336,,Help me with a reference sheet?,1,2014-03-16T14:38:18.000000,50
video_1057501435811500032,,Why Females Always Think This Way? #dreamteam #CarolinaCrew,89,2014-03-18T00:23:23.000000,32
video_1057758328068952064,,#donaldducking 🐤😂 #teamsupra,3013,2014-03-18T17:24:11.000000,80
video_1057901075220598784,,SHARKEISHAAA NOOOOOOO,714,2014-03-19T02:51:25.000000,90
video_1058237395197440000,,Kobe Bryant JUMPS OVER A CAR #nba #lakers #KB24 #ashtonmartin #stayhigh,5445,2014-03-20T01:07:50.000000,738
video_1058275301689892864,,Lycia including all of the Glamss girls they are all here for you they love you ❤️ @lyciafaith,2216,2014-03-20T03:38:27.000000,418
video_1058279271862329344,,Lycia faith is the strongest person I know ♡ and btw go watch her new video http://youtu.be/mTWxsveDHJA !,3189,2014-03-20T03:54:14.000000,216
video_1058308699795390464,,#RealTalk 😂😂😂 Had to throw that out there. . .,93,2014-03-20T05:51:10.000000,42
video_1058495731721728000,,DEEP range on the way out of practice,224,2014-03-20T18:14:22.000000,158
video_1058567897011920896,,Things that gross out Peyton Manning. #NFL #Football,1872,2014-03-20T23:01:07.000000,140
video_1058889058803146752,,Thanks Ma. #comedy #nofood #nofood4me #bullshit #WeNeedFood #follow,405,2014-03-21T20:17:18.000000,78
video_1058940543196979200,,#warready #facts minda ya godddamm motherfuckin business bitch😂😂😂😂😂😂#streetstv,182,2014-03-21T23:41:53.000000,42
video_1058975819718160384,,#youcantjudgeher #BlackRanked,1105,2014-03-22T02:02:04.000000,32
video_1059310997544079360,,AlliCattt and Collins Key,1718,2014-03-23T00:13:56.000000,76
video_1059574871014674432,,"READING VINE COMMENTS PT. 6
I really didn't know what to say to this one....
#thecommentseries",2616,2014-03-23T17:42:29.000000,466
video_1059992032464228352,,Amazing ping-pong shots.,5688,2014-03-24T21:20:08.000000,452
video_1060350847097221120,,#eye #sotrue #messingwithpeople #LOL J-Dot TeeAyeOh  its not safe when I get bored. childish things are likely to happen,15,2014-03-25T21:05:56.000000,34
video_1060431703267028992,,Back in the day track been stuck in my head since yesterday because Kendall T. On Da MIC #teamHAWAII #Hawaiivines #mario #justafriend,483,2014-03-26T02:27:13.000000,38
video_1061048387769679872,,"KiKi Rackz - Round She Go FULL VIDEO in an hour on YouTube SUBSCRIBE DerajGlobal, TwerkNation, TwerkingVines, Twerking 2014",908,2014-03-27T19:17:42.000000,70
video_1061579724511498240,,"Aye dis da most gangsta whiteboy i have ever seen!!!! He told the police ""shut up bitch""😂😂😂😂😂😂😂😂😂😂😂😂 Run man run!!! #hoodcomedy #TeamIgnant",1798,2014-03-29T06:29:03.000000,50
video_1061582683249012736,,"#savekessab #yesitsgenocide #genocide #armenian #spreadtheword #stoptheviolence Chef Boyar G, Arman, Ant!c",177,2014-03-29T06:40:48.000000,54
video_1061793757764231168,,Jesus is mad!!!! Jesus,463,2014-03-29T20:39:33.000000,32
video_1062159878522589184,,"When you find your #1 ""fan"" 🔪😳",5272,2014-03-30T20:54:23.000000,442
video_1062530169086095360,,Its all about the no edit smokesyncs💯 too much fun haha Throw it in the bag💰 #SmokeSync @rammalichy,4790,2014-03-31T21:25:47.000000,216
video_1062535235822292992,,I got the wrong impression maybe idk #TEAMSOUR Cory Cash,77,2014-03-31T21:45:55.000000,36
video_1062542981300740096,,Jack Hoffman 7-Year-Old Cancer Patient Runs for TD at Nebraska Spring Game,1702,2014-03-31T22:16:41.000000,526
video_1062801916175974400,,Like and revine if you support this flag yeeyee.  Then yall give me a follow,603,2014-04-01T15:25:36.000000,282
video_1062857673374101504,,sick of the hate on here😓 #selfharm #suicide #cutting,243,2014-04-01T19:07:10.000000,230
video_1063362568720117760,,When somebody farts in class.,1818,2014-04-03T04:33:26.000000,138
video_1063569089739534336,,I've reach the #devils #number #666. Hope god  is watching over me!#PhilipinoVinerRock #Rwilks:)      #crazy #new #world I'm living in,136,2014-04-03T18:14:05.000000,48
video_1064015840896225280,,my mom seriously just said this,1583,2014-04-04T23:49:18.000000,298
video_1064321446668607489,,My parody The Black Simba,5,2014-04-05T20:03:41.000000,48
video_1064324203748175872,,JESUS 🙏 OR SATAN 🔥 #Jesus #satan #devil #god #holy #religion #pray #help #spring #church #gooddeed #nice #like #share #follow #godbless,4313,2014-04-05T20:14:38.000000,800
video_1064662952684179456,,Since we only live once why don't we live for our Lord and Savior? #TeamJesusFreaks,591,2014-04-06T18:40:42.000000,66
video_1064754213302792192,,check out sunshinevape.com for all your vaping needs ☀️💨#freshvape #vape #vgod #dope #sunshinevape #sunshinevapers #vapecommunity #ahood,128,2014-04-07T00:43:20.000000,34
video_1065026019561533440,,#Exclusive773 #LincolnBeLike take care of your business,1187,2014-04-07T18:43:24.000000,90
