source,target
video_1046969682382794752,label_emotion_1046969682382794752
video_1046969682382794752,label_topic_1046969682382794752
video_1047214355399462912,label_emotion_1047214355399462912
video_1047214355399462912,label_topic_1047214355399462912
video_1047231749924728832,label_emotion_1047231749924728832
video_1047231749924728832,label_topic_1047231749924728832
video_1047619465950736384,label_emotion_1047619465950736384
video_1047619465950736384,label_topic_1047619465950736384
video_1047662801553936384,label_emotion_1047662801553936384
video_1047662801553936384,label_topic_1047662801553936384
video_1048237592963330048,label_emotion_1048237592963330048
video_1048237592963330048,label_topic_1048237592963330048
video_1048311727059861504,label_emotion_1048311727059861504
video_1048311727059861504,label_topic_1048311727059861504
video_1048815494985551872,label_emotion_1048815494985551872
video_1048815494985551872,label_topic_1048815494985551872
video_1048908355407675392,label_emotion_1048908355407675392
video_1048908355407675392,label_topic_1048908355407675392
video_1049049912895234048,label_emotion_1049049912895234048
video_1049049912895234048,label_topic_1049049912895234048
video_1049829133251125248,label_emotion_1049829133251125248
video_1049829133251125248,label_topic_1049829133251125248
video_1049866734833991680,label_emotion_1049866734833991680
video_1049866734833991680,label_topic_1049866734833991680
video_1050549294417457152,label_emotion_1050549294417457152
video_1050549294417457152,label_topic_1050549294417457152
video_1050956336680345600,label_emotion_1050956336680345600
video_1050956336680345600,label_topic_1050956336680345600
video_1050979346070077440,label_emotion_1050979346070077440
video_1050979346070077440,label_topic_1050979346070077440
video_1050987543383937024,label_emotion_1050987543383937024
video_1050987543383937024,label_topic_1050987543383937024
video_1051013843955957760,label_emotion_1051013843955957760
video_1051013843955957760,label_topic_1051013843955957760
video_1051123149653118976,label_emotion_1051123149653118976
video_1051123149653118976,label_topic_1051123149653118976
video_1051235021203316736,label_emotion_1051235021203316736
video_1051235021203316736,label_topic_1051235021203316736
video_1051368830045483008,label_emotion_1051368830045483008
video_1051368830045483008,label_topic_1051368830045483008
video_1052149019687985152,label_emotion_1052149019687985152
video_1052149019687985152,label_topic_1052149019687985152
video_1052156302291767296,label_emotion_1052156302291767296
video_1052156302291767296,label_topic_1052156302291767296
video_1052335428860043264,label_emotion_1052335428860043264
video_1052335428860043264,label_topic_1052335428860043264
video_1052400209289940992,label_emotion_1052400209289940992
video_1052400209289940992,label_topic_1052400209289940992
video_1052407693459476480,label_emotion_1052407693459476480
video_1052407693459476480,label_topic_1052407693459476480
video_1052863263529963520,label_emotion_1052863263529963520
video_1052863263529963520,label_topic_1052863263529963520
video_1053133798101442560,label_emotion_1053133798101442560
video_1053133798101442560,label_topic_1053133798101442560
video_1053238178943234048,label_emotion_1053238178943234048
video_1053238178943234048,label_topic_1053238178943234048
video_1053441156740681728,label_emotion_1053441156740681728
video_1053441156740681728,label_topic_1053441156740681728
video_1053509458280050688,label_emotion_1053509458280050688
video_1053509458280050688,label_topic_1053509458280050688
video_1053567200277450752,label_emotion_1053567200277450752
video_1053567200277450752,label_topic_1053567200277450752
video_1053791122083753984,label_emotion_1053791122083753984
video_1053791122083753984,label_topic_1053791122083753984
video_1053817084393508864,label_emotion_1053817084393508864
video_1053817084393508864,label_topic_1053817084393508864
video_1053834433943183360,label_emotion_1053834433943183360
video_1053834433943183360,label_topic_1053834433943183360
video_1053851785821384704,label_emotion_1053851785821384704
video_1053851785821384704,label_topic_1053851785821384704
video_1053867748171595776,label_emotion_1053867748171595776
video_1053867748171595776,label_topic_1053867748171595776
video_1053874949846663168,label_emotion_1053874949846663168
video_1053874949846663168,label_topic_1053874949846663168
video_1054174904356311040,label_emotion_1054174904356311040
video_1054174904356311040,label_topic_1054174904356311040
video_1054210825700741120,label_emotion_1054210825700741120
video_1054210825700741120,label_topic_1054210825700741120
video_1054254121538498560,label_emotion_1054254121538498560
video_1054254121538498560,label_topic_1054254121538498560
video_1054332992950054912,label_emotion_1054332992950054912
video_1054332992950054912,label_topic_1054332992950054912
video_1054888765589991424,label_emotion_1054888765589991424
video_1054888765589991424,label_topic_1054888765589991424
video_1054929697353457664,label_emotion_1054929697353457664
video_1054929697353457664,label_topic_1054929697353457664
video_1055241182718332928,label_emotion_1055241182718332928
video_1055241182718332928,label_topic_1055241182718332928
video_1055302920520220672,label_emotion_1055302920520220672
video_1055302920520220672,label_topic_1055302920520220672
video_1055376321662377984,label_emotion_1055376321662377984
video_1055376321662377984,label_topic_1055376321662377984
video_1055573849443864576,label_emotion_1055573849443864576
video_1055573849443864576,label_topic_1055573849443864576
video_1055729335686066176,label_emotion_1055729335686066176
video_1055729335686066176,label_topic_1055729335686066176
video_1056396634285637632,label_emotion_1056396634285637632
video_1056396634285637632,label_topic_1056396634285637632
video_1056441342043242496,label_emotion_1056441342043242496
video_1056441342043242496,label_topic_1056441342043242496
video_1056707580472258560,label_emotion_1056707580472258560
video_1056707580472258560,label_topic_1056707580472258560
video_1056767045251080192,label_emotion_1056767045251080192
video_1056767045251080192,label_topic_1056767045251080192
video_1056991806686478336,label_emotion_1056991806686478336
video_1056991806686478336,label_topic_1056991806686478336
video_1057501435811500032,label_emotion_1057501435811500032
video_1057501435811500032,label_topic_1057501435811500032
video_1057758328068952064,label_emotion_1057758328068952064
video_1057758328068952064,label_topic_1057758328068952064
video_1057901075220598784,label_emotion_1057901075220598784
video_1057901075220598784,label_topic_1057901075220598784
video_1058237395197440000,label_emotion_1058237395197440000
video_1058237395197440000,label_topic_1058237395197440000
video_1058275301689892864,label_emotion_1058275301689892864
video_1058275301689892864,label_topic_1058275301689892864
video_1058279271862329344,label_emotion_1058279271862329344
video_1058279271862329344,label_topic_1058279271862329344
video_1058308699795390464,label_emotion_1058308699795390464
video_1058308699795390464,label_topic_1058308699795390464
video_1058495731721728000,label_emotion_1058495731721728000
video_1058495731721728000,label_topic_1058495731721728000
video_1058567897011920896,label_emotion_1058567897011920896
video_1058567897011920896,label_topic_1058567897011920896
video_1058889058803146752,label_emotion_1058889058803146752
video_1058889058803146752,label_topic_1058889058803146752
video_1058940543196979200,label_emotion_1058940543196979200
video_1058940543196979200,label_topic_1058940543196979200
video_1058975819718160384,label_emotion_1058975819718160384
video_1058975819718160384,label_topic_1058975819718160384
video_1059310997544079360,label_emotion_1059310997544079360
video_1059310997544079360,label_topic_1059310997544079360
video_1059574871014674432,label_emotion_1059574871014674432
video_1059574871014674432,label_topic_1059574871014674432
video_1059992032464228352,label_emotion_1059992032464228352
video_1059992032464228352,label_topic_1059992032464228352
video_1060350847097221120,label_emotion_1060350847097221120
video_1060350847097221120,label_topic_1060350847097221120
video_1060431703267028992,label_emotion_1060431703267028992
video_1060431703267028992,label_topic_1060431703267028992
video_1061048387769679872,label_emotion_1061048387769679872
video_1061048387769679872,label_topic_1061048387769679872
video_1061579724511498240,label_emotion_1061579724511498240
video_1061579724511498240,label_topic_1061579724511498240
video_1061582683249012736,label_emotion_1061582683249012736
video_1061582683249012736,label_topic_1061582683249012736
video_1061793757764231168,label_emotion_1061793757764231168
video_1061793757764231168,label_topic_1061793757764231168
video_1062159878522589184,label_emotion_1062159878522589184
video_1062159878522589184,label_topic_1062159878522589184
video_1062530169086095360,label_emotion_1062530169086095360
video_1062530169086095360,label_topic_1062530169086095360
video_1062535235822292992,label_emotion_1062535235822292992
video_1062535235822292992,label_topic_1062535235822292992
video_1062542981300740096,label_emotion_1062542981300740096
video_1062542981300740096,label_topic_1062542981300740096
video_1062801916175974400,label_emotion_1062801916175974400
video_1062801916175974400,label_topic_1062801916175974400
video_1062857673374101504,label_emotion_1062857673374101504
video_1062857673374101504,label_topic_1062857673374101504
video_1063362568720117760,label_emotion_1063362568720117760
video_1063362568720117760,label_topic_1063362568720117760
video_1063569089739534336,label_emotion_1063569089739534336
video_1063569089739534336,label_topic_1063569089739534336
video_1064015840896225280,label_emotion_1064015840896225280
video_1064015840896225280,label_topic_1064015840896225280
video_1064321446668607489,label_emotion_1064321446668607489
video_1064321446668607489,label_topic_1064321446668607489
video_1064324203748175872,label_emotion_1064324203748175872
video_1064324203748175872,label_topic_1064324203748175872
video_1064662952684179456,label_emotion_1064662952684179456
video_1064662952684179456,label_topic_1064662952684179456
video_1064754213302792192,label_emotion_1064754213302792192
video_1064754213302792192,label_topic_1064754213302792192
video_1065395268834463744,label_emotion_1065395268834463744
video_1065395268834463744,label_topic_1065395268834463744
video_1065408203174641664,label_emotion_1065408203174641664
video_1065408203174641664,label_topic_1065408203174641664
video_1065464392118067200,label_emotion_1065464392118067200
video_1065464392118067200,label_topic_1065464392118067200
video_1065798031183650816,label_emotion_1065798031183650816
video_1065798031183650816,label_topic_1065798031183650816
video_1066169079599104000,label_emotion_1066169079599104000
video_1066169079599104000,label_topic_1066169079599104000
video_1066207153549086720,label_emotion_1066207153549086720
video_1066207153549086720,label_topic_1066207153549086720
video_1066222158239453184,label_emotion_1066222158239453184
video_1066222158239453184,label_topic_1066222158239453184
video_1066305683928035328,label_emotion_1066305683928035328
video_1066305683928035328,label_topic_1066305683928035328
video_1066477558595461120,label_emotion_1066477558595461120
video_1066477558595461120,label_topic_1066477558595461120
video_1066980163927085056,label_emotion_1066980163927085056
video_1066980163927085056,label_topic_1066980163927085056
video_1067325353481154560,label_emotion_1067325353481154560
video_1067325353481154560,label_topic_1067325353481154560
video_1067712613082931200,label_emotion_1067712613082931200
video_1067712613082931200,label_topic_1067712613082931200
video_1068090269611814912,label_emotion_1068090269611814912
video_1068090269611814912,label_topic_1068090269611814912
video_1068331658626875392,label_emotion_1068331658626875392
video_1068331658626875392,label_topic_1068331658626875392
video_1068931474784436224,label_emotion_1068931474784436224
video_1068931474784436224,label_topic_1068931474784436224
video_1069119845687328768,label_emotion_1069119845687328768
video_1069119845687328768,label_topic_1069119845687328768
video_1069402134493184000,label_emotion_1069402134493184000
video_1069402134493184000,label_topic_1069402134493184000
video_1069505734389223424,label_emotion_1069505734389223424
video_1069505734389223424,label_topic_1069505734389223424
video_1069797641048776704,label_emotion_1069797641048776704
video_1069797641048776704,label_topic_1069797641048776704
video_1070034127660666880,label_emotion_1070034127660666880
video_1070034127660666880,label_topic_1070034127660666880
video_1070449102225096704,label_emotion_1070449102225096704
video_1070449102225096704,label_topic_1070449102225096704
video_1071192384462815232,label_emotion_1071192384462815232
video_1071192384462815232,label_topic_1071192384462815232
video_1071559888842489856,label_emotion_1071559888842489856
video_1071559888842489856,label_topic_1071559888842489856
video_1071569348935725056,label_emotion_1071569348935725056
video_1071569348935725056,label_topic_1071569348935725056
video_1071611451216748544,label_emotion_1071611451216748544
video_1071611451216748544,label_topic_1071611451216748544
video_1072272423350611968,label_emotion_1072272423350611968
video_1072272423350611968,label_topic_1072272423350611968
video_1072641231181459456,label_emotion_1072641231181459456
video_1072641231181459456,label_topic_1072641231181459456
video_1073365057221664768,label_emotion_1073365057221664768
video_1073365057221664768,label_topic_1073365057221664768
video_1073397272806817792,label_emotion_1073397272806817792
video_1073397272806817792,label_topic_1073397272806817792
video_1073767088117682176,label_emotion_1073767088117682176
video_1073767088117682176,label_topic_1073767088117682176
video_1074093091838996480,label_emotion_1074093091838996480
video_1074093091838996480,label_topic_1074093091838996480
video_1074178615274520576,label_emotion_1074178615274520576
video_1074178615274520576,label_topic_1074178615274520576
video_1074558864478883840,label_emotion_1074558864478883840
video_1074558864478883840,label_topic_1074558864478883840
video_1074565114495225856,label_emotion_1074565114495225856
video_1074565114495225856,label_topic_1074565114495225856
video_1074582050805350400,label_emotion_1074582050805350400
video_1074582050805350400,label_topic_1074582050805350400
video_1075209954887151616,label_emotion_1075209954887151616
video_1075209954887151616,label_topic_1075209954887151616
video_1075288563576344576,label_emotion_1075288563576344576
video_1075288563576344576,label_topic_1075288563576344576
video_1075323229281083392,label_emotion_1075323229281083392
video_1075323229281083392,label_topic_1075323229281083392
video_1075400357594677248,label_emotion_1075400357594677248
video_1075400357594677248,label_topic_1075400357594677248
video_1075911890053615616,label_emotion_1075911890053615616
video_1075911890053615616,label_topic_1075911890053615616
video_1076155793067458560,label_emotion_1076155793067458560
video_1076155793067458560,label_topic_1076155793067458560
video_1076449821596205056,label_emotion_1076449821596205056
video_1076449821596205056,label_topic_1076449821596205056
video_1076989232968626176,label_emotion_1076989232968626176
video_1076989232968626176,label_topic_1076989232968626176
video_1077720157402615808,label_emotion_1077720157402615808
video_1077720157402615808,label_topic_1077720157402615808
video_1078300657657741312,label_emotion_1078300657657741312
video_1078300657657741312,label_topic_1078300657657741312
video_1078788598574231552,label_emotion_1078788598574231552
video_1078788598574231552,label_topic_1078788598574231552
video_1079165184779636736,label_emotion_1079165184779636736
video_1079165184779636736,label_topic_1079165184779636736
video_1079327636633055232,label_emotion_1079327636633055232
video_1079327636633055232,label_topic_1079327636633055232
video_1079563325219762176,label_emotion_1079563325219762176
video_1079563325219762176,label_topic_1079563325219762176
video_1079941606209196032,label_emotion_1079941606209196032
video_1079941606209196032,label_topic_1079941606209196032
video_1079979879103168512,label_emotion_1079979879103168512
video_1079979879103168512,label_topic_1079979879103168512
video_1080206571692503040,label_emotion_1080206571692503040
video_1080206571692503040,label_topic_1080206571692503040
video_1080414388202143744,label_emotion_1080414388202143744
video_1080414388202143744,label_topic_1080414388202143744
video_1080644237860691968,label_emotion_1080644237860691968
video_1080644237860691968,label_topic_1080644237860691968
video_1080677149976965120,label_emotion_1080677149976965120
video_1080677149976965120,label_topic_1080677149976965120
video_1080713892960825344,label_emotion_1080713892960825344
video_1080713892960825344,label_topic_1080713892960825344
video_1081347031362084864,label_emotion_1081347031362084864
video_1081347031362084864,label_topic_1081347031362084864
video_1081664980782374912,label_emotion_1081664980782374912
video_1081664980782374912,label_topic_1081664980782374912
video_1081770339480018944,label_emotion_1081770339480018944
video_1081770339480018944,label_topic_1081770339480018944
video_1082024475463172096,label_emotion_1082024475463172096
video_1082024475463172096,label_topic_1082024475463172096
video_1082666054314094592,label_emotion_1082666054314094592
video_1082666054314094592,label_topic_1082666054314094592
video_1082811330043768832,label_emotion_1082811330043768832
video_1082811330043768832,label_topic_1082811330043768832
video_1083200941169266688,label_emotion_1083200941169266688
video_1083200941169266688,label_topic_1083200941169266688
video_1083226258218885120,label_emotion_1083226258218885120
video_1083226258218885120,label_topic_1083226258218885120
video_1083599318768062464,label_emotion_1083599318768062464
video_1083599318768062464,label_topic_1083599318768062464
video_1083946694279860224,label_emotion_1083946694279860224
video_1083946694279860224,label_topic_1083946694279860224
video_1084002306900779008,label_emotion_1084002306900779008
video_1084002306900779008,label_topic_1084002306900779008
video_1084204805423034368,label_emotion_1084204805423034368
video_1084204805423034368,label_topic_1084204805423034368
video_1084987505293619200,label_emotion_1084987505293619200
video_1084987505293619200,label_topic_1084987505293619200
video_1085363521883193344,label_emotion_1085363521883193344
video_1085363521883193344,label_topic_1085363521883193344
video_1085415668834508800,label_emotion_1085415668834508800
video_1085415668834508800,label_topic_1085415668834508800
video_1085445634200375296,label_emotion_1085445634200375296
video_1085445634200375296,label_topic_1085445634200375296
video_1085673974135971840,label_emotion_1085673974135971840
video_1085673974135971840,label_topic_1085673974135971840
video_1086543779877523456,label_emotion_1086543779877523456
video_1086543779877523456,label_topic_1086543779877523456
video_1086708000095629312,label_emotion_1086708000095629312
video_1086708000095629312,label_topic_1086708000095629312
video_1087153434588753920,label_emotion_1087153434588753920
video_1087153434588753920,label_topic_1087153434588753920
video_1087535147143827456,label_emotion_1087535147143827456
video_1087535147143827456,label_topic_1087535147143827456
video_1087618613571219456,label_emotion_1087618613571219456
video_1087618613571219456,label_topic_1087618613571219456
video_1087666570542600192,label_emotion_1087666570542600192
video_1087666570542600192,label_topic_1087666570542600192
video_1087883417049358336,label_emotion_1087883417049358336
video_1087883417049358336,label_topic_1087883417049358336
video_1088094632748953600,label_emotion_1088094632748953600
video_1088094632748953600,label_topic_1088094632748953600
video_1088167410106023936,label_emotion_1088167410106023936
video_1088167410106023936,label_topic_1088167410106023936
video_1088174709562314752,label_emotion_1088174709562314752
video_1088174709562314752,label_topic_1088174709562314752
video_1088244090421846016,label_emotion_1088244090421846016
video_1088244090421846016,label_topic_1088244090421846016
video_1088397668046319616,label_emotion_1088397668046319616
video_1088397668046319616,label_topic_1088397668046319616
video_1088606388550275072,label_emotion_1088606388550275072
video_1088606388550275072,label_topic_1088606388550275072
video_1088930373125242880,label_emotion_1088930373125242880
