source,target,creation_time
video_1026948475654725632,media_session_1026948475654725632,2013-12-23T16:56:50.000000
video_1027003324282654720,media_session_1027003324282654720,2013-12-23T20:34:47.000000
video_1027371347221045248,media_session_1027371347221045248,2013-12-24T20:57:10.000000
video_1027437650183081984,media_session_1027437650183081984,2013-12-25T01:20:38.000000
video_1027479240444452864,media_session_1027479240444452864,2013-12-25T04:05:54.000000
video_1027519055210438656,media_session_1027519055210438656,2013-12-25T06:44:07.000000
video_1027733396387975168,media_session_1027733396387975168,2013-12-25T20:55:50.000000
video_1028080834764255232,media_session_1028080834764255232,2013-12-26T19:56:25.000000
video_1028570940705239040,media_session_1028570940705239040,2013-12-28T04:23:56.000000
video_1030291178240856064,media_session_1030291178240856064,2014-01-01T22:19:32.000000
video_1030470596695359488,media_session_1030470596695359488,2014-01-02T10:12:29.000000
video_1030637312557678592,media_session_1030637312557678592,2014-01-02T21:14:57.000000
video_1031714823689437184,media_session_1031714823689437184,2014-01-05T20:36:36.000000
video_1032610021605056512,media_session_1032610021605056512,2014-01-08T07:53:48.000000
video_1033243846865473536,media_session_1033243846865473536,2014-01-10T01:52:23.000000
video_1033551391932710912,media_session_1033551391932710912,2014-01-10T22:14:28.000000
video_1033993129051017216,media_session_1033993129051017216,2014-01-12T03:29:46.000000
video_1034009613798187008,media_session_1034009613798187008,2014-01-12T04:35:16.000000
video_1034325239603015680,media_session_1034325239603015680,2014-01-13T01:29:27.000000
video_1035095956305125376,media_session_1035095956305125376,2014-01-15T04:32:01.000000
video_1035362829223784448,media_session_1035362829223784448,2014-01-15T22:12:28.000000
video_1035704405627965440,media_session_1035704405627965440,2014-01-16T20:49:46.000000
video_1035709331489832960,media_session_1035709331489832960,2014-01-16T21:09:21.000000
video_1035989830989217792,media_session_1035989830989217792,2014-01-17T15:43:57.000000
video_1036391385047134208,media_session_1036391385047134208,2014-01-18T18:19:35.000000
video_1036470207365230592,media_session_1036470207365230592,2014-01-18T23:32:48.000000
video_1036776803483684864,media_session_1036776803483684864,2014-01-19T19:51:06.000000
video_1036918934974406656,media_session_1036918934974406656,2014-01-20T05:15:53.000000
video_1037513465897598976,media_session_1037513465897598976,2014-01-21T20:38:20.000000
video_1037547364719775744,media_session_1037547364719775744,2014-01-21T22:53:02.000000
video_1037557671953342464,media_session_1037557671953342464,2014-01-21T23:33:59.000000
video_1037584295784497152,media_session_1037584295784497152,2014-01-22T01:19:47.000000
video_1037604986386882560,media_session_1037604986386882560,2014-01-22T02:42:00.000000
video_1038002020772110336,media_session_1038002020772110336,2014-01-23T04:59:40.000000
video_1038279828601765888,media_session_1038279828601765888,2014-01-23T23:23:35.000000
video_1038638173796159488,media_session_1038638173796159488,2014-01-24T23:07:31.000000
video_1038952710659035136,media_session_1038952710659035136,2014-01-25T19:57:23.000000
video_1040017863920017408,media_session_1040017863920017408,2014-01-28T18:29:55.000000
video_1040475260585484288,media_session_1040475260585484288,2014-01-30T00:47:27.000000
video_1040480063214456832,media_session_1040480063214456832,2014-01-30T01:06:32.000000
video_1040547079480930304,media_session_1040547079480930304,2014-01-30T05:32:50.000000
video_1040715918327648256,media_session_1040715918327648256,2014-01-30T16:43:44.000000
video_1041223651707719680,media_session_1041223651707719680,2014-02-01T02:21:17.000000
video_1041575393192218624,media_session_1041575393192218624,2014-02-02T01:38:59.000000
video_1041926984047251456,media_session_1041926984047251456,2014-02-03T00:56:05.000000
video_1042152100458799104,media_session_1042152100458799104,2014-02-03T15:50:36.000000
video_1044184247084498944,media_session_1044184247084498944,2014-02-09T06:25:38.000000
video_1044413228903788544,media_session_1044413228903788544,2014-02-09T21:35:32.000000
video_1044444091183788032,media_session_1044444091183788032,2014-02-09T23:38:10.000000
video_1045487837144907776,media_session_1045487837144907776,2014-02-12T20:45:38.000000
video_1045523258935754752,media_session_1045523258935754752,2014-02-12T23:06:23.000000
video_1045940810706726912,media_session_1045940810706726912,2014-02-14T02:45:35.000000
video_1046262244998258688,media_session_1046262244998258688,2014-02-15T00:02:51.000000
video_1046367793622441984,media_session_1046367793622441984,2014-02-15T07:02:16.000000
video_1046683080292782080,media_session_1046683080292782080,2014-02-16T03:55:06.000000
video_1046969682382794752,media_session_1046969682382794752,2014-02-16T22:53:58.000000
video_1047214355399462912,media_session_1047214355399462912,2014-02-17T15:06:12.000000
video_1047231749924728832,media_session_1047231749924728832,2014-02-17T16:15:19.000000
video_1047619465950736384,media_session_1047619465950736384,2014-02-18T17:55:58.000000
video_1047662801553936384,media_session_1047662801553936384,2014-02-18T20:48:10.000000
video_1048237592963330048,media_session_1048237592963330048,2014-02-20T10:52:11.000000
video_1048311727059861504,media_session_1048311727059861504,2014-02-20T15:46:46.000000
video_1048815494985551872,media_session_1048815494985551872,2014-02-22T01:08:34.000000
video_1048908355407675392,media_session_1048908355407675392,2014-02-22T07:17:33.000000
video_1049049912895234048,media_session_1049049912895234048,2014-02-22T16:40:03.000000
video_1049829133251125248,media_session_1049829133251125248,2014-02-24T20:16:24.000000
video_1049866734833991680,media_session_1049866734833991680,2014-02-24T22:45:49.000000
video_1050549294417457152,media_session_1050549294417457152,2014-02-26T19:58:04.000000
video_1050956336680345600,media_session_1050956336680345600,2014-02-27T22:55:30.000000
video_1050979346070077440,media_session_1050979346070077440,2014-02-28T00:26:56.000000
video_1050987543383937024,media_session_1050987543383937024,2014-02-28T00:59:30.000000
video_1051013843955957760,media_session_1051013843955957760,2014-02-28T02:44:01.000000
video_1051123149653118976,media_session_1051123149653118976,2014-02-28T09:58:21.000000
video_1051235021203316736,media_session_1051235021203316736,2014-02-28T17:22:54.000000
video_1051368830045483008,media_session_1051368830045483008,2014-03-01T02:14:36.000000
video_1052149019687985152,media_session_1052149019687985152,2014-03-03T05:54:48.000000
video_1052156302291767296,media_session_1052156302291767296,2014-03-03T06:23:44.000000
video_1052335428860043264,media_session_1052335428860043264,2014-03-03T18:15:31.000000
video_1052400209289940992,media_session_1052400209289940992,2014-03-03T22:32:56.000000
video_1052407693459476480,media_session_1052407693459476480,2014-03-03T23:02:40.000000
video_1052863263529963520,media_session_1052863263529963520,2014-03-05T05:12:57.000000
video_1053133798101442560,media_session_1053133798101442560,2014-03-05T23:07:57.000000
video_1053238178943234048,media_session_1053238178943234048,2014-03-06T06:02:44.000000
video_1053441156740681728,media_session_1053441156740681728,2014-03-06T19:29:17.000000
video_1053509458280050688,media_session_1053509458280050688,2014-03-07T00:00:42.000000
video_1053567200277450752,media_session_1053567200277450752,2014-03-07T03:50:08.000000
video_1053791122083753984,media_session_1053791122083753984,2014-03-07T18:39:55.000000
video_1053817084393508864,media_session_1053817084393508864,2014-03-07T20:23:05.000000
video_1053834433943183360,media_session_1053834433943183360,2014-03-07T21:32:02.000000
video_1053851785821384704,media_session_1053851785821384704,2014-03-07T22:40:59.000000
video_1053867748171595776,media_session_1053867748171595776,2014-03-07T23:44:25.000000
video_1053874949846663168,media_session_1053874949846663168,2014-03-08T00:13:02.000000
video_1054174904356311040,media_session_1054174904356311040,2014-03-08T20:04:56.000000
video_1054210825700741120,media_session_1054210825700741120,2014-03-08T22:27:41.000000
video_1054254121538498560,media_session_1054254121538498560,2014-03-09T01:19:43.000000
video_1054332992950054912,media_session_1054332992950054912,2014-03-09T06:33:08.000000
video_1054888765589991424,media_session_1054888765589991424,2014-03-10T19:21:34.000000
video_1054929697353457664,media_session_1054929697353457664,2014-03-10T22:04:13.000000
video_1055241182718332928,media_session_1055241182718332928,2014-03-11T18:41:57.000000
video_1055302920520220672,media_session_1055302920520220672,2014-03-11T22:47:16.000000
video_1055376321662377984,media_session_1055376321662377984,2014-03-12T03:38:57.000000
video_1055573849443864576,media_session_1055573849443864576,2014-03-12T16:43:51.000000
video_1055729335686066176,media_session_1055729335686066176,2014-03-13T03:01:42.000000
video_1056068458850689024,media_session_1056068458850689024,2014-03-14T01:29:15.000000
video_1056396634285637632,media_session_1056396634285637632,2014-03-14T23:13:18.000000
video_1056441342043242496,media_session_1056441342043242496,2014-03-15T02:10:57.000000
video_1056707580472258560,media_session_1056707580472258560,2014-03-15T19:48:53.000000
video_1056767045251080192,media_session_1056767045251080192,2014-03-15T23:45:11.000000
video_1056991806686478336,media_session_1056991806686478336,2014-03-16T14:38:18.000000
video_1057501435811500032,media_session_1057501435811500032,2014-03-18T00:23:23.000000
video_1057758328068952064,media_session_1057758328068952064,2014-03-18T17:24:11.000000
video_1057901075220598784,media_session_1057901075220598784,2014-03-19T02:51:25.000000
video_1058237395197440000,media_session_1058237395197440000,2014-03-20T01:07:50.000000
video_1058275301689892864,media_session_1058275301689892864,2014-03-20T03:38:27.000000
video_1058279271862329344,media_session_1058279271862329344,2014-03-20T03:54:14.000000
video_1058308699795390464,media_session_1058308699795390464,2014-03-20T05:51:10.000000
video_1058495731721728000,media_session_1058495731721728000,2014-03-20T18:14:22.000000
video_1058567897011920896,media_session_1058567897011920896,2014-03-20T23:01:07.000000
video_1058889058803146752,media_session_1058889058803146752,2014-03-21T20:17:18.000000
video_1058940543196979200,media_session_1058940543196979200,2014-03-21T23:41:53.000000
video_1058975819718160384,media_session_1058975819718160384,2014-03-22T02:02:04.000000
video_1059310997544079360,media_session_1059310997544079360,2014-03-23T00:13:56.000000
video_1059574871014674432,media_session_1059574871014674432,2014-03-23T17:42:29.000000
video_1059992032464228352,media_session_1059992032464228352,2014-03-24T21:20:08.000000
video_1060350847097221120,media_session_1060350847097221120,2014-03-25T21:05:56.000000
video_1060431703267028992,media_session_1060431703267028992,2014-03-26T02:27:13.000000
video_1061048387769679872,media_session_1061048387769679872,2014-03-27T19:17:42.000000
video_1061579724511498240,media_session_1061579724511498240,2014-03-29T06:29:03.000000
video_1061582683249012736,media_session_1061582683249012736,2014-03-29T06:40:48.000000
video_1061793757764231168,media_session_1061793757764231168,2014-03-29T20:39:33.000000
video_1062159878522589184,media_session_1062159878522589184,2014-03-30T20:54:23.000000
video_1062530169086095360,media_session_1062530169086095360,2014-03-31T21:25:47.000000
video_1062535235822292992,media_session_1062535235822292992,2014-03-31T21:45:55.000000
video_1062542981300740096,media_session_1062542981300740096,2014-03-31T22:16:41.000000
video_1062801916175974400,media_session_1062801916175974400,2014-04-01T15:25:36.000000
video_1062857673374101504,media_session_1062857673374101504,2014-04-01T19:07:10.000000
video_1063362568720117760,media_session_1063362568720117760,2014-04-03T04:33:26.000000
video_1063569089739534336,media_session_1063569089739534336,2014-04-03T18:14:05.000000
video_1064015840896225280,media_session_1064015840896225280,2014-04-04T23:49:18.000000
video_1064321446668607489,media_session_1064321446668607489,2014-04-05T20:03:41.000000
video_1064324203748175872,media_session_1064324203748175872,2014-04-05T20:14:38.000000
video_1064662952684179456,media_session_1064662952684179456,2014-04-06T18:40:42.000000
video_1064754213302792192,media_session_1064754213302792192,2014-04-07T00:43:20.000000
video_1065026019561533440,media_session_1065026019561533440,2014-04-07T18:43:24.000000
video_1065395268834463744,media_session_1065395268834463744,2014-04-08T19:10:40.000000
video_1065408203174641664,media_session_1065408203174641664,2014-04-08T20:02:03.000000
video_1065464392118067200,media_session_1065464392118067200,2014-04-08T23:45:20.000000
video_1065798031183650816,media_session_1065798031183650816,2014-04-09T21:51:06.000000
video_1066169079599104000,media_session_1066169079599104000,2014-04-10T22:25:31.000000
video_1066207153549086720,media_session_1066207153549086720,2014-04-11T00:56:48.000000
video_1066222158239453184,media_session_1066222158239453184,2014-04-11T01:56:25.000000
video_1066305683928035328,media_session_1066305683928035328,2014-04-11T07:28:20.000000
video_1066477558595461120,media_session_1066477558595461120,2014-04-11T18:51:18.000000
video_1066980163927085056,media_session_1066980163927085056,2014-04-13T04:08:28.000000
video_1067325353481154560,media_session_1067325353481154560,2014-04-14T03:00:08.000000
video_1067712613082931200,media_session_1067712613082931200,2014-04-15T04:38:58.000000
video_1068090269611814912,media_session_1068090269611814912,2014-04-16T05:39:38.000000
video_1068331658626875392,media_session_1068331658626875392,2014-04-16T21:38:50.000000
video_1068931474784436224,media_session_1068931474784436224,2014-04-18T13:22:17.000000
video_1069119845687328768,media_session_1069119845687328768,2014-04-19T01:50:48.000000
video_1069402134493184000,media_session_1069402134493184000,2014-04-19T20:32:31.000000
video_1069505734389223424,media_session_1069505734389223424,2014-04-20T03:24:11.000000
video_1069797641048776704,media_session_1069797641048776704,2014-04-20T22:44:07.000000
video_1070034127660666880,media_session_1070034127660666880,2014-04-21T14:23:50.000000
video_1070449102225096704,media_session_1070449102225096704,2014-04-22T17:52:47.000000
video_1071192384462815232,media_session_1071192384462815232,2014-04-24T19:06:20.000000
video_1071559888842489856,media_session_1071559888842489856,2014-04-25T19:26:40.000000
video_1071569348935725056,media_session_1071569348935725056,2014-04-25T20:04:15.000000
video_1071611451216748544,media_session_1071611451216748544,2014-04-25T22:51:33.000000
video_1072272423350611968,media_session_1072272423350611968,2014-04-27T18:38:01.000000
video_1072641231181459456,media_session_1072641231181459456,2014-04-28T19:03:32.000000
video_1073365057221664768,media_session_1073365057221664768,2014-04-30T18:59:45.000000
video_1073397272806817792,media_session_1073397272806817792,2014-04-30T21:07:46.000000
video_1073767088117682176,media_session_1073767088117682176,2014-05-01T21:37:17.000000
video_1074093091838996480,media_session_1074093091838996480,2014-05-02T19:12:42.000000
video_1074178615274520576,media_session_1074178615274520576,2014-05-03T00:52:33.000000
video_1074558864478883840,media_session_1074558864478883840,2014-05-04T02:03:31.000000
video_1074565114495225856,media_session_1074565114495225856,2014-05-04T02:28:21.000000
video_1074582050805350400,media_session_1074582050805350400,2014-05-04T03:35:39.000000
video_1075209954887151616,media_session_1075209954887151616,2014-05-05T21:10:43.000000
video_1075288563576344576,media_session_1075288563576344576,2014-05-06T02:23:05.000000
video_1075323229281083392,media_session_1075323229281083392,2014-05-06T04:40:50.000000
video_1075400357594677248,media_session_1075400357594677248,2014-05-06T09:47:19.000000
video_1075911890053615616,media_session_1075911890053615616,2014-05-07T19:39:58.000000
video_1076155793067458560,media_session_1076155793067458560,2014-05-08T11:49:09.000000
video_1076449821596205056,media_session_1076449821596205056,2014-05-09T07:17:30.000000
video_1076989232968626176,media_session_1076989232968626176,2014-05-10T19:00:56.000000
video_1077720157402615808,media_session_1077720157402615808,2014-05-12T19:25:22.000000
video_1078300657657741312,media_session_1078300657657741312,2014-05-14T09:52:04.000000
video_1078788598574231552,media_session_1078788598574231552,2014-05-15T18:10:58.000000
video_1079165184779636736,media_session_1079165184779636736,2014-05-16T19:07:23.000000
video_1079327636633055232,media_session_1079327636633055232,2014-05-17T05:52:55.000000
video_1079563325219762176,media_session_1079563325219762176,2014-05-17T21:29:28.000000
video_1079941606209196032,media_session_1079941606209196032,2014-05-18T22:32:37.000000
video_1079979879103168512,media_session_1079979879103168512,2014-05-19T01:04:42.000000
video_1080206571692503040,media_session_1080206571692503040,2014-05-19T16:05:29.000000
video_1080414388202143744,media_session_1080414388202143744,2014-05-20T05:51:17.000000
video_1080644237860691968,media_session_1080644237860691968,2014-05-20T21:04:37.000000
video_1080677149976965120,media_session_1080677149976965120,2014-05-20T23:15:24.000000
video_1080713892960825344,media_session_1080713892960825344,2014-05-21T01:41:24.000000
video_1081347031362084864,media_session_1081347031362084864,2014-05-22T19:37:16.000000
video_1081664980782374912,media_session_1081664980782374912,2014-05-23T16:40:41.000000
video_1081770339480018944,media_session_1081770339480018944,2014-05-23T23:39:21.000000
video_1082024475463172096,media_session_1082024475463172096,2014-05-24T16:29:11.000000
video_1082666054314094592,media_session_1082666054314094592,2014-05-26T10:58:36.000000
video_1082811330043768832,media_session_1082811330043768832,2014-05-26T20:35:52.000000
video_1083200941169266688,media_session_1083200941169266688,2014-05-27T22:24:03.000000
video_1083226258218885120,media_session_1083226258218885120,2014-05-28T00:04:39.000000
video_1083599318768062464,media_session_1083599318768062464,2014-05-29T00:47:03.000000
video_1083946694279860224,media_session_1083946694279860224,2014-05-29T23:47:24.000000
video_1084002306900779008,media_session_1084002306900779008,2014-05-30T03:28:23.000000
video_1084204805423034368,media_session_1084204805423034368,2014-05-30T16:53:03.000000
video_1084987505293619200,media_session_1084987505293619200,2014-06-01T20:43:13.000000
video_1085363521883193344,media_session_1085363521883193344,2014-06-02T21:37:22.000000
video_1085415668834508800,media_session_1085415668834508800,2014-06-03T01:04:35.000000
video_1085445634200375296,media_session_1085445634200375296,2014-06-03T03:03:39.000000
video_1085673974135971840,media_session_1085673974135971840,2014-06-03T18:11:00.000000
video_1086500958768443392,media_session_1086500958768443392,2014-06-06T00:57:08.000000
video_1086543779877523456,media_session_1086543779877523456,2014-06-06T03:47:18.000000
video_1086708000095629312,media_session_1086708000095629312,2014-06-06T14:39:51.000000
video_1087153434588753920,media_session_1087153434588753920,2014-06-07T20:09:51.000000
video_1087535147143827456,media_session_1087535147143827456,2014-06-08T21:26:38.000000
video_1087618613571219456,media_session_1087618613571219456,2014-06-09T02:58:18.000000
video_1087666570542600192,media_session_1087666570542600192,2014-06-09T06:08:52.000000
video_1087883417049358336,media_session_1087883417049358336,2014-06-09T20:30:32.000000
video_1088094632748953600,media_session_1088094632748953600,2014-06-10T10:29:50.000000
video_1088167410106023936,media_session_1088167410106023936,2014-06-10T15:19:01.000000
video_1088174709562314752,media_session_1088174709562314752,2014-06-10T15:48:02.000000
video_1088244090421846016,media_session_1088244090421846016,2014-06-10T20:23:43.000000
video_1088397668046319616,media_session_1088397668046319616,2014-06-11T06:33:59.000000
video_1088606388550275072,media_session_1088606388550275072,2014-06-11T20:23:22.000000
video_1088930373125242880,media_session_1088930373125242880,2014-06-12T17:50:46.000000
video_1089277769843875840,media_session_1089277769843875840,2014-06-13T16:51:12.000000
video_1089363733589180416,media_session_1089363733589180416,2014-06-13T22:32:47.000000
video_1089386242933927936,media_session_1089386242933927936,2014-06-14T00:02:14.000000
video_1089592394258735104,media_session_1089592394258735104,2014-06-14T13:41:24.000000
video_1089999176642740224,media_session_1089999176642740224,2014-06-15T16:37:48.000000
video_1090088382400745472,media_session_1090088382400745472,2014-06-15T22:32:17.000000
video_1090203245110247424,media_session_1090203245110247424,2014-06-16T06:08:42.000000
video_1090353709025779712,media_session_1090353709025779712,2014-06-16T16:06:36.000000
video_1090702573801021440,media_session_1090702573801021440,2014-06-17T15:12:51.000000
video_1090914499969650688,media_session_1090914499969650688,2014-06-18T05:14:59.000000
video_1090918845046308865,media_session_1090918845046308865,2014-06-18T05:32:14.000000
video_1091205374369021952,media_session_1091205374369021952,2014-06-19T00:30:48.000000
video_1091781715627802624,media_session_1091781715627802624,2014-06-20T14:40:59.000000
video_1092198309856202752,media_session_1092198309856202752,2014-06-21T18:16:23.000000
video_1092214858084454400,media_session_1092214858084454400,2014-06-21T19:22:08.000000
video_1092907872842665984,media_session_1092907872842665984,2014-06-23T17:15:56.000000
video_1092969087300173824,media_session_1092969087300173824,2014-06-23T21:19:10.000000
video_1093012547432751104,media_session_1093012547432751104,2014-06-24T00:11:52.000000
video_1093077555252453376,media_session_1093077555252453376,2014-06-24T04:30:11.000000
video_1093363423410003968,media_session_1093363423410003968,2014-06-24T23:26:07.000000
video_1093418607750586368,media_session_1093418607750586368,2014-06-25T03:05:24.000000
video_1093485395146063872,media_session_1093485395146063872,2014-06-25T07:30:48.000000
video_1094090769612034048,media_session_1094090769612034048,2014-06-26T23:36:20.000000
video_1094413297685540864,media_session_1094413297685540864,2014-06-27T20:57:57.000000
video_1094470760749301760,media_session_1094470760749301760,2014-06-28T00:46:17.000000
video_1095091242351857664,media_session_1095091242351857664,2014-06-29T17:51:51.000000
video_1095439996166582272,media_session_1095439996166582272,2014-06-30T16:57:41.000000
video_1095446517768163328,media_session_1095446517768163328,2014-06-30T17:23:36.000000
video_1095630491862048768,media_session_1095630491862048768,2014-07-01T05:34:39.000000
video_1095675144338337792,media_session_1095675144338337792,2014-07-01T08:32:05.000000
video_1095736849378570240,media_session_1095736849378570240,2014-07-01T12:37:16.000000
video_1095896759818952704,media_session_1095896759818952704,2014-07-01T23:12:42.000000
video_1095898870002941952,media_session_1095898870002941952,2014-07-01T23:21:05.000000
video_1095990868877398016,media_session_1095990868877398016,2014-07-02T05:26:39.000000
video_1096319947627520000,media_session_1096319947627520000,2014-07-03T03:14:18.000000
video_1096567014052507648,media_session_1096567014052507648,2014-07-03T19:36:03.000000
video_1096618808267177984,media_session_1096618808267177984,2014-07-03T23:01:52.000000
video_1096623496114692096,media_session_1096623496114692096,2014-07-03T23:20:29.000000
video_1096628029943341056,media_session_1096628029943341056,2014-07-03T23:38:30.000000
video_1096952104704180224,media_session_1096952104704180224,2014-07-04T21:06:16.000000
video_1096973775121068032,media_session_1096973775121068032,2014-07-04T22:32:22.000000
video_1097110443434311680,media_session_1097110443434311680,2014-07-05T07:35:27.000000
video_1097549752872361984,media_session_1097549752872361984,2014-07-06T12:41:06.000000
video_1097639562659913728,media_session_1097639562659913728,2014-07-06T18:37:58.000000
video_1097680912839221248,media_session_1097680912839221248,2014-07-06T21:22:17.000000
video_1097701474978656256,media_session_1097701474978656256,2014-07-06T22:43:59.000000
video_1098157924557172736,media_session_1098157924557172736,2014-07-08T04:57:46.000000
video_1098427247180034048,media_session_1098427247180034048,2014-07-08T22:47:57.000000
video_1098494225022345216,media_session_1098494225022345216,2014-07-09T03:14:06.000000
video_1099520439597858816,media_session_1099520439597858816,2014-07-11T23:11:54.000000
video_1099890043511795712,media_session_1099890043511795712,2014-07-12T23:40:35.000000
video_1100096249568595968,media_session_1100096249568595968,2014-07-13T13:19:58.000000
video_1100156714189541376,media_session_1100156714189541376,2014-07-13T17:20:14.000000
video_1100181285881724928,media_session_1100181285881724928,2014-07-13T18:57:52.000000
video_1100569866882150400,media_session_1100569866882150400,2014-07-14T20:41:57.000000
video_1100586565102940160,media_session_1100586565102940160,2014-07-14T21:48:19.000000
video_1100888664311242752,media_session_1100888664311242752,2014-07-15T17:48:45.000000
video_1100966706026872832,media_session_1100966706026872832,2014-07-15T22:58:51.000000
video_1101031922005622784,media_session_1101031922005622784,2014-07-16T03:18:00.000000
video_1101188683316801536,media_session_1101188683316801536,2014-07-16T13:40:55.000000
video_1101279017832968192,media_session_1101279017832968192,2014-07-16T19:39:52.000000
video_1101618694213509120,media_session_1101618694213509120,2014-07-17T18:09:37.000000
video_1101791523529703424,media_session_1101791523529703424,2014-07-18T05:36:23.000000
video_1101859498160779264,media_session_1101859498160779264,2014-07-18T10:06:29.000000
